book_id,original_title,authors,isbn,original_publication_year,average_rating
71,"Frankenstein; or, The Modern Prometheus","Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",141439475,1818,3.75
72,The Shining,Stephen King,450040186,1977,4.17
73,The Host,Stephenie Meyer,316068047,2008,3.84
74,Looking for Alaska,John Green,142402516,2005,4.09
75,,Helen Fielding,014028009X,1996,3.75
76,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",141439661,1811,4.06
77,Holes,"Louis Sachar, Louis Sachar",439244196,1998,3.93
78,The Devil Wears Prada,Lauren Weisberger,307275558,2003,3.7
79,Ὀδύσσεια,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",143039954,-720,3.73
80,Le Petit Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",156012197,1946,4.28
81,The Glass Castle,Jeannette Walls,074324754X,2005,4.24
82,Into the Wild,Jon Krakauer,385486804,1996,3.94
83,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",141439602,1859,3.81
84,Jurassic Park,Michael Crichton,030734813X,1990,3.96
85,The Giving Tree,Shel Silverstein,60256656,1964,4.38
86,A Time to Kill,John Grisham,385338600,1989,4.03
87,Un di Velt Hot Geshvign,"Elie Wiesel, Marion Wiesel",374500010,1958,4.3
88,Paper Towns,John Green,014241493X,2008,3.88
89,The Princess Bride,William Goldman,345418263,1973,4.25
90,The Outsiders,S.E. Hinton,014038572X,1967,4.06
91,The Maze Runner,James Dashner,385737947,2009,4.02
92,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Steven D. Levitt, Stephen J. Dubner",61234001,2005,3.93
93,The Secret Garden,Frances Hodgson Burnett,517189607,1911,4.12
94,Cien años de soledad,"Gabriel García Márquez, Gregory Rabassa",60531045,1967,4.04
95,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",375751513,1891,4.06
96,Fifty Shades Freed,E.L. James,345803507,2012,3.88
97,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",393970124,1897,3.98
98,Flickan som lekte med elden,"Stieg Larsson, Reg Keeland",307269981,2006,4.22
99,Fifty Shades Darker,E.L. James,1612130585,2011,3.87
100,The Poisonwood Bible,Barbara Kingsolver,60786507,1998,4.02
101,Me Talk Pretty One Day,David Sedaris,349113912,2000,3.97
102,Where the Wild Things Are,Maurice Sendak,99408392,1963,4.22
103,Le Comte de Monte-Cristo,"Alexandre Dumas, Robin Buss",140449264,1844,4.21
104,The Road,Cormac McCarthy,307265439,2006,3.95
105,Allegiant,Veronica Roth,7524277,2013,3.63
106,Bossypants,Tina Fey,,2011,3.94
107,A Walk to Remember,Nicholas Sparks,446693804,1999,4.15
108,Confessions of a Shopaholic,Sophie Kinsella,440241413,2000,3.61
109,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",451525264,1862,4.14
110,A Clash of Kings,George R.R. Martin,553381695,1998,4.4
111,The Memory Keeper's Daughter,Kim Edwards,143037145,2005,3.64
112,Me Before You,Jojo Moyes,670026603,2012,4.27
113,Catch-22,Joseph Heller,684833395,1961,3.98
114,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",751529818,1997,4.06
115,Middlesex,Jeffrey Eugenides,312422156,2002,3.98
116,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",143039563,1876,3.89
117,A Wrinkle in Time,Madeleine L'Engle,440498058,1962,4.04
118,The Joy Luck Club,Amy Tan,143038095,1989,3.9
119,The Handmaid's Tale,Margaret Atwood,038549081X,1985,4.06
120,The Sisterhood of the Traveling Pants,Ann Brashares,385729332,2001,3.75
121,Lolita,"Vladimir Nabokov, Craig Raine",,1955,3.88
122,Wicked: The Life and Times of the Wicked Witch of the West,"Gregory Maguire, Douglas Smith",60987103,1995,3.52
123,The Firm,John Grisham,582418275,1991,3.99
124,Room,Emma Donoghue,316098337,2010,4.03
125,"The Tragicall Historie of Hamlet, Prince of Denmark","William Shakespeare, Richard Andrews, Rex Gibson",521618746,1600,4
126,Dune,Frank Herbert,340839937,1965,4.19
127,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,316346624,2000,3.92
128,Steve Jobs,Walter Isaacson,1451648537,2011,4.09
129,One Flew Over the Cuckoo's Nest,Ken Kesey,451163966,1962,4.18
130,The Old Man and the Sea,Ernest Hemingway,684830493,1952,3.73
131,The Grapes of Wrath,John Steinbeck,142000663,1939,3.92
132,The Five People You Meet in Heaven,Mitch Albom,1401308589,2003,3.9
133,Anne of Green Gables,L.M. Montgomery,451528824,1908,4.23
134,City of Glass,Cassandra Clare,1416914307,2009,4.34
135,A Storm of Swords,George R.R. Martin,055357342X,2000,4.54
136,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,006075995X,1996,3.79
137,Outlander,Diana Gabaldon,440242940,1991,4.2
138,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",142437263,1850,3.37
139,Miss Peregrine’s Home for Peculiar Children,Ransom Riggs,1594744769,2011,3.89
140,Luftslottet som sprängdes,"Stieg Larsson, Reg Keeland",030726999X,2007,4.2
141,The Martian,Andy Weir,804139024,2012,4.39
142,The Pillars of the Earth,Ken Follett,451207149,1989,4.29
143,,Anthony Doerr,1476746583,2014,4.31
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,1400064163,2010,4.4
145,Deception Point,Dan Brown,671027387,2001,3.67
146,The Goldfinch,Donna Tartt,316055433,2013,3.87
147,Thirteen Reasons Why,Jay Asher,1595141715,2007,4.02
148,Girl with a Pearl Earring,Tracy Chevalier,452287022,1999,3.85
149,If I Stay,Gayle Forman,525421033,2009,3.96
150,The Red Tent,Anita Diamant,312353766,1997,4.16
151,The Sea of Monsters,Rick Riordan,786856866,2006,4.23
152,Dear John,Nicholas Sparks,446528056,2006,4.01
153,City of Ashes,Cassandra Clare,1416914293,2008,4.21
154,The Tragedy of Macbeth,William Shakespeare,743477103,1606,3.88
155,The Two Towers,J.R.R. Tolkien,618346260,1954,4.42
156,Something Borrowed,Emily Giffin,031232118X,2004,3.83
157,Green Eggs and Ham,"Dr. Seuss, לאה נאור",394800168,1960,4.29
158,Charlie and the Chocolate Factory,"Roald Dahl, Quentin Blake",142403881,1964,4.1
159,The Battle of the Labyrinth,Rick Riordan,1423101464,2008,4.39
160,Great Expectations,Charles Dickens,192833596,1860,3.75
161,The Return of the King,J.R.R. Tolkien,345339738,1955,4.51
162,L’Étranger,"Albert Camus, Matthew    Ward",,1942,3.96
163,The Lost Hero,Rick Riordan,142311339X,2010,4.35
164,Eleanor & Park,Rainbow Rowell,1250012570,2013,4.11
165,A Feast for Crows,George R.R. Martin,055358202X,2005,4.1
166,Matched,Ally Condie,525423648,2010,3.68
167,American Gods,Neil Gaiman,747263744,2001,4.11
168,The Stand,"Stephen King, Bernie Wrightson",385199570,1978,4.34
169,The Last Song,Nicholas Sparks,446547565,2008,4.14
170,Digital Fortress,Dan Brown,552151696,1998,3.6
171,Emma,"Jane Austen, Fiona Stafford",141439580,1815,3.99
172,Анна Каренина,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",345803922,1877,4.02
173,A Clockwork Orange,Anthony Burgess,393312836,1962,3.98
174,The Shack: Where Tragedy Confronts Eternity,William Paul Young,964729237,2007,3.74
175,The Last Olympian,Rick Riordan,739380338,2009,4.5
176,It,Stephen King,451169514,1986,4.18
177,Преступление и наказание,"Fyodor Dostoyevsky, David McDuff",143058142,1866,4.18
178,The Bell Jar,Sylvia Plath,61148512,1963,3.98
179,Angela's Ashes: A Memoir,Frank McCourt,7205236,1996,4.07
180,Siddhartha,"Hermann Hesse, Hilda Rosner",553208845,1922,3.99
181,In Cold Blood,Truman Capote,679745580,1965,4.05
182,Beautiful Creatures,"Kami Garcia, Margaret Stohl",316042676,2009,3.76
183,Clockwork Angel,Cassandra Clare,1416975861,2010,4.33
184,Matilda,"Roald Dahl, Quentin Blake",141301066,1988,4.29
185,The Night Circus,Erin Morgenstern,385534639,2011,4.03
186,The Other Boleyn Girl,Philippa Gregory,743227441,2001,4.04
187,Uglies,Scott Westerfeld,689865384,2005,3.86
188,A Dance with Dragons,George R.R. Martin,,2011,4.31
189,The Lord of the Rings,J.R.R. Tolkien,618640150,1955,4.47
190,Wild: From Lost to Found on the Pacific Crest Trail ,Cheryl Strayed,307592731,2012,3.96
191,Watchmen,"Alan Moore, Dave Gibbons, John Higgins",930289234,1987,4.35
192,The Name of the Wind,Patrick Rothfuss,075640407X,2007,4.55
193,Outliers: The Story of Success,Malcolm Gladwell,316017922,2008,4.11
194,"Moby Dick; or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk",142437247,1851,3.46
195,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",385340990,2008,4.12
196,Fight Club,Chuck Palahniuk,393327345,1996,4.2
197,Dead Until Dark,Charlaine Harris,441008534,2001,3.96
198,The Color Purple,Alice Walker,671727796,1982,4.17
199,Marley & Me: Life and Love with the World's Worst Dog,John Grogan,739461192,2005,4.12
200,Ten Little Niggers,Agatha Christie,312330871,1939,4.23
201,The Lost Symbol,Dan Brown,385504225,2009,3.66
202,"Hush, Hush",Becca Fitzpatrick,1416989412,2009,4
203,Beautiful Disaster,Jamie McGuire,,2011,4.15
204,A Christmas Carol,Charles Dickens,1561797464,1843,4.02
205,Interview with the Vampire,Anne Rice,345476875,1976,3.97
206,The Selection,Kiera Cass,62059939,2012,4.15
207,One for the Money,Janet Evanovich,312362080,1994,4.03
208,The Immortal Life of Henrietta Lacks,Rebecca Skloot,1400052173,2010,4.04
209,The Silence of the Lambs,Thomas Harris,99446782,1988,4.14
210,,Richelle Mead,159514174X,2007,4.14
211,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,316010669,2005,3.89
212,Atonement,Ian McEwan,038572179X,2001,3.88
213,Die Verwandlung,"Franz Kafka, Stanley Corngold",553213695,1915,3.78
214,The Titan's Curse,Rick Riordan,141382899,2007,4.33
215,,Ernest Cline,030788743X,2011,4.31
216,The Art of Racing in the Rain,Garth Stein,1554681723,2006,4.19
217,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America","Erik Larson, Tony Goldwyn",739303406,2003,3.98
218,Bared to You,Sylvia Day,425263908,2012,4.19
219,The Chronicles of Narnia,"C.S. Lewis, Pauline Baynes",66238501,1956,4.24
220,Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,316043133,,4.23
221,"A Child Called ""It"": One Child's Courage to Survive",Dave Pelzer,1558743669,1995,4.08
222,The Bourne Identity,Robert Ludlum,752864327,1980,3.98
223,Artemis Fowl,Eoin Colfer,786817879,2001,3.82
224,Fallen,Lauren Kate,385738935,2009,3.74
225,East of Eden  ,John Steinbeck,142000655,1952,4.35
226,Dark Places,Gillian Flynn,307341569,2009,3.92
227,The Client,John Grisham,385339089,1993,3.97
228,The Nanny Diaries,"Emma McLaughlin, Nicola Kraus",312291639,2002,3.4
229,Alice's Adventures in Wonderland,"Lewis Carroll, John Tenniel, Martin Gardner",451527747,1865,4.06
230,Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch",192802631,1817,4.13
231,Elle s'appelait Sarah,Tatiana de Rosnay,312370830,2007,4.14
232,The Gunslinger,Stephen King,452284694,1982,3.99
233,El amor en los tiempos del cólera,"Gabriel García Márquez, Edith Grossman",140003468X,1985,3.89
234,Speak,Laurie Halse Anderson,014131088X,1999,4
235,The Husband's Secret ,Liane Moriarty,399159347,2013,3.92
236,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,385494785,1997,4.11
237,Carrie,Stephen King,1416524304,1974,3.93
238,Running with Scissors,Augusten Burroughs,031242227X,2002,3.7
239,World War Z: An Oral History of the Zombie War,Max Brooks,307346609,2006,4.01
240,Inferno,Dan Brown,385537859,2013,3.8
241,Number the Stars,Lois Lowry,440227534,1989,4.11
242,Along Came a Spider,James Patterson,446692638,1993,4.08
243,Misery,Stephen King,450417395,1987,4.11
244,Sharp Objects,Gillian Flynn,307341542,2006,3.92
245,Bridge to Terabithia,Katherine Paterson,439366771,1977,3.98
246,Marked,"P.C. Cast, Kristin Cast",312360266,2007,3.79
247,The 7 Habits of Highly Effective People,Stephen R. Covey,743269519,1989,4.05
248,A Midsummer Night's Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",743477545,1595,3.94
249,Extremely Loud and Incredibly Close,Jonathan Safran Foer,618711651,2005,3.97
250,Wonder,R.J. Palacio,375869026,2012,4.43
251,The Cat in the Hat,Dr. Seuss,039480001X,1957,4.15
252,Cinder,Marissa Meyer,312641893,2012,4.15
253,The Cuckoo's Calling,"Robert Galbraith, J.K. Rowling",316206849,2013,3.83
254,Shiver,Maggie Stiefvater,545123267,2009,3.78
255,Atlas Shrugged,"Ayn Rand, Leonard Peikoff",452011876,1957,3.68
256,Three Cups of Tea ,"Greg Mortenson, David Oliver Relin",143038257,2006,3.64
257,,"Jane Carruth, Lewis Carroll, Rene Cloke",517223627,1865,4.03
258,La sombra del viento,"Carlos Ruiz Zafón, Lucia Graves",143034901,2001,4.24
259,The Scorch Trials,James Dashner,385738757,2010,3.93
260,How to Win Friends and Influence People,Dale Carnegie,,1936,4.13
261,Under the Tuscan Sun,Frances Mayes,767900383,1996,3.72
262,Big Little Lies,Liane Moriarty,399167064,2014,4.2
263,Ella Enchanted,Gail Carson Levine,590920685,1997,3.97
264,The Sun Also Rises,Ernest Hemingway,743297334,1926,3.83
265,A Tree Grows In Brooklyn ,Betty  Smith,61120073,1943,4.24
266,Kiss the Girls,James Patterson,446677388,1995,3.93
267,The Nightingale,Kristin Hannah,312577222,2015,4.54
268,Never Let Me Go,Kazuo Ishiguro,1400078776,2005,3.8
269,"PS, I Love You",Cecelia Ahern,786890754,2003,4.01
270,Rebecca,"Daphne du Maurier, Sally Beauman",1844080382,1938,4.2
271,Flowers for Algernon,Daniel Keyes,156030306,1966,4.07
272,Como agua para chocolate,"Laura Esquivel, Thomas  Christensen, Carol Christensen",552995878,1989,3.94
273,Snow Flower and the Secret Fan,Lisa See,812968069,2005,4.05
274,The Godfather,"Mario Puzo, Robert Thompson, Peter Bart",451205766,1969,4.36
275,An Abundance of Katherines,John Green,525476881,2006,3.63
276,Foundation,Isaac Asimov,553803719,1951,4.13
277,The Ocean at the End of the Lane,Neil Gaiman,62255657,2013,3.99
278,A Light in the Attic,Shel Silverstein,60513063,1981,4.34
279,"Harry Potter and the Cursed Child, Parts One and Two","John Tiffany, Jack Thorne, J.K. Rowling",751565350,2016,3.75
280,Delirium,Lauren Oliver,61726834,2011,3.99
281,The Pelican Brief,John Grisham,385339704,1992,3.95
282,Coraline,Neil Gaiman,61139378,2002,4.03
283,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman",60853980,1990,4.25
284,On the Road,Jack Kerouac,140042598,1955,3.64
285,The Rosie Project,Graeme Simsion,1476729085,2013,4.01
286,The Lucky One,Nicholas Sparks,446579939,2008,4.1
287,The Fountainhead,"Ayn Rand, Leonard Peikoff",451191153,1943,3.85
288,The Hunt for Red October,Tom Clancy,425172902,1984,4.01
289,Watership Down,Richard Adams,038039586X,1972,4.05
290,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,307886263,2011,3.84
291,Cutting for Stone,Abraham Verghese,375414495,2009,4.28
292,The Voyage of the Dawn Treader,"C.S. Lewis, Pauline Baynes",006112527X,1951,4.08
293,Treasure Island,Robert Louis Stevenson,753453800,1882,3.82
294,The Son of Neptune ,Rick Riordan,1423140591,2011,4.44
295,11/22/1963,Stephen King,1451627289,2011,4.29
296,The Very Hungry Caterpillar,Eric Carle,241003008,1969,4.29
297,Cat's Cradle,Kurt Vonnegut Jr.,140285601,1963,4.18
298,The Time Machine,"H.G. Wells, Greg Bear, Carlo Pagetti",451528557,1895,3.87
299,,"Todd Burpo, Lynn Vincent",849946158,2010,4.01
300,The Boy in the Striped Pyjamas,John Boyne,385751060,2006,4.1
301,Heart of Darkness,Joseph Conrad,1892295490,1899,3.42
302,Safe Haven,Nicholas Sparks,044654759X,2010,4.19
303,The Secret,Rhonda Byrne,1582701709,2006,3.62
304,I Know This Much Is True ,Wally Lamb,60987561,1998,4.17
305,Pet Sematary,Stephen King,1416524347,1983,3.91
306,She's Come Undone,Wally Lamb,671021001,1992,3.84
307,The Wise Man's Fear,Patrick Rothfuss,756404738,2011,4.57
308,Can You Keep a Secret?,Sophie Kinsella,440241901,2003,3.83
309,City of Fallen Angels,Cassandra Clare,1442403543,2011,4.16
310,Good in Bed,Jennifer Weiner,743418174,2001,3.7
311,The Thorn Birds,Colleen McCullough,380018179,1977,4.22
312,The Graveyard Book,"Neil Gaiman, Dave McKean",60530928,2008,4.12
313,The Light Between Oceans,M.L. Stedman,1451681739,2012,4
314,Tintenherz,"Cornelia Funke, Anthea Bell",439709105,2003,3.86
315,Who Moved My Cheese?,"Spencer Johnson, Kenneth H. Blanchard",91883768,1998,3.74
316,A Walk in the Woods,Bill Bryson,307279464,1997,4.05
317,I Know Why the Caged Bird Sings,Maya Angelou,553279378,1969,4.19
318,Orphan Train,Christina Baker Kline,61950726,2013,4.14
319,City of Lost Souls,Cassandra Clare,1442416866,2012,4.3
320,"Where'd You Go, Bernadette",Maria Semple,316204277,2012,3.9
321,Where the Red Fern Grows,Wilson Rawls,375806814,1961,4.04
322,Neverwhere,Neil Gaiman,60557818,1996,4.18
323,Nesnesitelná lehkost bytí,"Milan Kundera, Michael Henry Heim",571224385,1984,4.08
324,,Rainbow Rowell,,2013,4.12
325,A Prayer for Owen Meany,John Irving,552135399,1989,4.22
326,White Oleander,Janet Fitch,316182540,1999,3.93
327,Legend,Marie Lu,039925675X,2011,4.19
328,Nineteen Minutes,Jodi Picoult,743496728,2007,4.1
329,The Last Lecture,"Randy Pausch, Jeffrey Zaslow",1401323251,2008,4.25
330,The Eye of the World,Robert Jordan,812511816,1990,4.18
331,The Pact,Jodi Picoult,61150142,1998,4
332,The magician's nephew,C.S. Lewis,60764902,1953,4.01
333,Still Alice,Lisa Genova,595440096,2007,4.3
334,Reflected in You,Sylvia Day,425263916,2012,4.33
335,James and the Giant Peach,"Roald Dahl, Quentin Blake",375814248,1961,3.99
336,1st To Die,James Patterson,446696617,2001,4.05
337,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,Douglas Adams,345453743,1996,4.37
338,One Day,David Nicholls,340896965,2009,3.77
339,,"Margaret Wise Brown, Clement Hurd",60775858,1947,4.27
340,I Am Number Four,Pittacus Lore,61969559,2010,3.94
341,Ἰλιάς,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",140275363,-750,3.83
342,The Casual Vacancy,J.K. Rowling,316228532,2012,3.28
343,The Runaway Jury,John Grisham,385339690,1996,3.96
344,Naked,David Sedaris,316777730,1997,4.08
345,Eldest,Christopher Paolini,375840400,2005,3.96
346,The Wonderful Wizard of Oz,"L. Frank Baum, W.W. Denslow",140621679,1900,3.98
347,Prince Caspian: The Return to Narnia,C.S. Lewis,000720230X,1951,3.96
348,We Were Liars,E. Lockhart,,2014,3.85
349,Salem's Lot,Stephen King,450031063,1975,3.99
350,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,"Hunter S. Thompson, Ralph Steadman",679785892,1971,4.08
351,Clockwork Prince,Cassandra Clare,1416975888,2011,4.46
352,Yes Please,Amy Poehler,62268341,2014,3.81
353,"The Tragedy of Othello, The Moor of Venice",William Shakespeare,743477553,1603,3.88
354,Beloved,Toni Morrison,1400033411,1987,3.77
355,Graceling,Kristin Cashore,015206396X,2008,4.1
356,The Bad Beginning,"Lemony Snicket, Brett Helquist",439206472,1999,3.89
357,Im Westen nichts Neues,"Erich Maria Remarque, A.W. Wheen",449213943,1929,3.92
358,"Oh, the Places You'll Go!",Dr. Seuss,679805273,1990,4.34
359,And The Mountains Echoed,Khaled Hosseini,159463176X,2012,4.03
360,Do Androids Dream of Electric Sheep?,"Philip K. Dick, Roger Zelazny",345404475,1968,4.08
361,Oliver Twist,"Charles Dickens, George Cruikshank, Philip Horne",141439742,1838,3.85
362,A Grief Observed,C.S. Lewis,60652896,1942,4.21
363,Anna and the French Kiss,Stephanie Perkins,525423273,2010,4.08
364,How the Grinch Stole Christmas!,Dr. Seuss,7173040,1957,4.36
365,V for Vendetta,"Alan Moore, David   Lloyd",1401207928,1990,4.25
366,John Adams,David McCullough,743223136,2001,4.05
367,Odd Thomas,Dean Koontz,553384287,2003,3.94
368,The Subtle Knife,Philip Pullman,679879250,1997,4.1
369,Stargirl,Jerry Spinelli,439488400,2000,3.74
370,The Red Pyramid,Rick Riordan,1423113381,2010,4.06
371,Stranger in a Strange Land,Robert A. Heinlein,441788386,1961,3.91
372,Dress Your Family in Corduroy and Denim,David Sedaris,965904830,2004,4.08
373,The BFG,"Roald Dahl, Quentin Blake",141311371,1982,4.22
374,A Short History of Nearly Everything,Bill Bryson,076790818X,2003,4.19
375,The Call of the Wild,Jack London,439227143,1903,3.83
376,The Death Cure,James Dashner,385738773,2011,3.77
377,Stardust,Neil Gaiman,61142026,1999,4.07
378,The Namesake,Jhumpa Lahiri,618485228,2003,3.96
379,A Discovery of Witches,Deborah Harkness,670022411,2011,3.99
380,ノルウェイの森 [Noruwei no Mori],"Haruki Murakami, Jay Rubin",375704027,1987,4.02
381,Where the Heart Is,Billie Letts,446672211,1995,4
382,"Will Grayson, Will Grayson","John Green, David Levithan",525421580,2010,3.84
383,A Million Little Pieces,James Frey,307276902,2003,3.62
384,Frostbite,Richelle Mead,1595141758,2008,4.3
385,Quiet: The Power of Introverts in a World that Can't Stop Talking,Susan Cain,307352145,2012,4.04
386,Island of the Blue Dolphins,Scott O'Dell,440439884,1960,3.8
387,The Crucible,"Arthur Miller, Christopher Bigsby",142437336,1953,3.55
388,Hatchet,Gary Paulsen,689840926,1986,3.68
389,Mistborn : The Final Empire,Brandon Sanderson,076531178X,2006,4.43
390,The Strange Case of Dr Jekyll and Mr Hyde,"Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon",451528956,1886,3.79
391,The Lorax,Dr. Seuss,679889108,1971,4.35
392,Greg Heffley's Journal,Jeff Kinney,810993139,2004,3.96
393,Throne of Glass,Sarah J. Maas,1599906953,2012,4.24
394,Shadow Kiss,Richelle Mead,1595141979,2008,4.37
